CODIGO,ARTICULO / CATEGORIA,PRECIO,MAYORISTA
FE0119,Top Crop Budpack,"$42.000,00","$33.600,00"
FE0120,Top crop cyclone 50g,"$8.600,00","$6.880,00"
FE0121,Top crop Top veg 250ml,"$8.600,00","$6.880,00"
FE0122,Top crop Top boom 250ml,"$8.600,00","$6.880,00"
FE0123,Top crop deeper under 100ml,"$5.500,00","$4.400,00"
FE0124,Top crop deeper under 250ml,"$12.000,00","$9.600,00"
FE0125,Top crop auto 250ml,"$10.200,00","$8.160,00"
FE0126,Top Crop Bud 250ml,"$32.400,00","$25.920,00"
FE0127,Top crop top bud 100ml,"$19.000,00","$15.200,00"
FE0128,Top crop top candy 250m,"$8.600,00","$6.880,00"
FE0129,Top crop top big one 100ml,"$12.000,00","$9.600,00"
FE0130,Top crop barrier 250ml,"$9.400,00","$7.520,00"
FE0131,Top crop big one 250m,"$20.000,00","$16.000,00"
FE0132,Top crop barrier 100ml,"$4.600,00","$3.680,00"
FE0133,Top crop Cal Magic 250ml,"$6.600,00","$5.280,00"
FE0134,Top Crop Veg 1L,"$21.000,00","$16.800,00"
FE0135,top blom,"$21.000,00","$16.800,00"
FE0136,Top Crop Candy 1L,"$21.000,00","$16.800,00"
FE0137,The green nursery supermelaza 250ml,"$6.400,00","$5.120,00"
FE0138,The green nursery fuego 250ml,"$5.600,00","$4.480,00"
FE0139,Vamp hechizo veg,"$5.000,00","$4.000,00"
FE0140,Vamp hechizo bloom,"$5.000,00","$4.000,00"
FE0141,Vamp la vampimelaza,"$6.000,00","$4.800,00"
FE0142,Vamp poción impkble,"$6.500,00","$5.200,00"
FE0143,Vamp poción infernal,"$6.500,00","$5.200,00"
FE0144,Vamp Guano murciélago veg,"$5.400,00","$4.320,00"
FE0145,Vamp Guano murciélago flora,"$5.400,00","$4.320,00"
FE0146,Vamp alquimia natural,"$5.400,00","$4.320,00"
FE0147,Vamp bokashi veg,"$5.400,00","$4.320,00"
FE0148,Vamp bokashi flora,"$5.400,00","$4.320,00"
FE0179,Vamp polvo roca,"$4.800,00","$3.840,00"
CAT,LATA Y FRASCOS HERMÉTICOS,,
LA001,Bolsa recipiente Zeus,"$600,00","$480,00"
LA002,Ciigarrera mexicana,"$10.000,00","$8.000,00"
LA003,Lata Gizeh,"$7.000,00","$5.600,00"
LA004,Lata element,"$6.700,00","$5.360,00"
LA005,Lata prerolled raw,"$5.000,00","$4.000,00"
LA006,Lata raw,"$7.100,00","$5.680,00"
LA007,Latita raw redondo,"$4.000,00","$3.200,00"
LA008,Lata Zeus,"$3.000,00","$2.400,00"
LA009,LRC personajes,"$4.000,00","$3.200,00"
LA010,LRC portasedas 78mm,"$4.200,00","$3.360,00"
LA011,LRC portasedas 110mm,"$4.000,00","$3.200,00"
LA012,Raw portasedas 78mm,"$4.000,00","$3.200,00"
LA013,Raw portasedas 110mm,"$5.000,00","$4.000,00"
LA014,Raw portasedas y rallador,"$8.600,00","$6.880,00"
LA015,Recipiente rosin calavera,"$2.300,00","$1.840,00"
LA016,Recipiente rosin triángulo,"$3.500,00","$2.800,00"
LA017,Recipiente rosin redondo,"$2.300,00","$1.840,00"
LA018,Recipiente rosin redondo grande,"$4.000,00","$3.200,00"
LA019,Tabaquera GB,"$3.200,00","$2.560,00"
LA020,Tabaquera Tobac cordura,"$11.000,00","$8.800,00"
LA021,Zeus con tapa,"$7.000,00","$5.600,00"
CAT,MACETAS,,
MA001,Cuadradas 330cc,"$200,00","$160,00"
MA002,Geotextil 5L,"$2.600,00","$2.080,00"
MA003,Geotextil 10L,"$4.600,00","$3.680,00"
MA004,Geotextil 15L,"$5.200,00","$4.160,00"
MA005,Geotextil 20L,"$6.000,00","$4.800,00"
MA006,Geotextil 25L,,"$0,00"
MA007,Geotextil 30L,"$7.200,00","$5.760,00"
MA008,Geotextil 40L,,"$0,00"
MA009,Geotextil 60L,,"$0,00"
MA010,Mad rocket 5L,"$4.200,00","$3.360,00"
MA011,Mad rocket 25L,"$12.000,00","$9.600,00"
MA012,Sopladas 3L,"$500,00","$400,00"
MA013,Sopladas 5L,"$700,00","$560,00"
MA014,Sopladas 10L,"$1.200,00","$960,00"
MA015,Sopladas 12L,,"$0,00"
MA016,Sopladas 15L,"$1.800,00","$1.440,00"
MA017,Sopladas 20L,,"$0,00"
MA018,Sopladas 23L,"$2.500,00","$2.000,00"
MA019,Sopladas 30L,"$4.200,00","$3.360,00"
CAT,PANELES LED,,
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
FALSE,,,
CAT,PANELES GROWTECH,,
PG001,100W Growtech,"$79.200,00",
PG002,200W Growtech,"$133.300,00",
PG003,300W Growtech,"$176.000,00",
PG004,400W Growtech,"$220.000,00",
PG005,600W Growtech,"$317.000,00",
FALSE,,,
CAT,PICADORES ,,
P001,Amsterdam grande zeus 4/p,"$0,00",
P002,Amsterdam LRC 2/p,"$14.700,00",
P003,Amsterdam LRC 3/P,"$17.300,00",
P004,Amsterdam LRC 4/p,"$17.300,00",
P005,Acrilico gigante 2P,"$6.300,00",
P006,Arturito stars wars,"$18.400,00",
P007,Barril rojo 3p,"$12.000,00",
P008,Bulldog 4p,"$0,00",
P054,Bulldog 2p metal,"$10.350,00",
P009,Bulldog azul acrílico 4p,"$0,00",
P010,Calavera 3p,"$12.650,00",
P011,Calavera Rey 3P,"$16.000,00",
P012,Chala grande rojo 4p,"$0,00",
P013,Cargador bala chico 3p,"$8.300,00",
P014,Darth Vader stars wars,"$14.950,00",
P015,Dragón Ball esfera 3p,"$0,00",
P016,Deadpool,"$0,00",
P017,DK Metal Chalas 3P C5031,"$15.000,00",
P018,Escamas,"$6.670,00",
P019,Esfera tornosolado 3p,"$11.500,00",
P020,Estrella de la muerte,"$14.030,00",
P021,Emoji 2P,"$0,00",
P022,Ficha casino mediano 3P,"$14.000,00",
P023,Ficha casino simple 2P,"$7.400,00",
P024,Granada camuflado 3p,"$14.000,00",
P025,Gizeh tornasol 4p,"$23.000,00",
P026,Hamburguesa 3p,"$13.455,00",
P027,LRC carving 4P,"$28.750,00",
P028,LRC carving negro 2p,"$15.525,00",
P029,LRC carving violeta 2p,"$18.400,00",
P030,LRC ceramic 3P,"$33.100,00",
P031,Metal Hexagonal 2P,"$7.400,00",
P032,Minicogonauts,"$11.155,00",
P033,Panal abeja 3P,"$11.300,00",
P034,Pikacho 3p,"$11.960,00",
P035,Pica mexicano 4p,"$11.040,00",
P036,Pokebola,"$14.000,00",
P037,Sauver acrilico 3P,"$3.500,00",
P038,Stamps acrilico 2p,"$3.220,00",
P039,Stamps acrilico 4p,"$5.000,00",
P040,Tainer LRC,"$5.060,00",
P041,Tainer 3rayos,"$4.600,00",
P042,Tornasolado esfera 3p,"$14.490,00",
P043,Tuqueros 420,"$7.475,00",
P044,Yin Yang 4P,"$9.400,00",
P045,Zeus acrilico chico,"$1.620,00",
P046,Zeus acrilico grande,"$2.300,00",
P047,Zeus Camaño 3p marron,"$5.060,00",
P048,Zeus Camaño 3p marron,"$4.025,00",
P049,Zeus Camaño colores grande,"$5.520,00",
P050,Zeus con recipiente,"$10.235,00",
P051,Zeus pica bandeja,"$4.600,00",
P052,3Rayos colores 3p,"$11.385,00",
P053,3rayos madera 4p,"$11.385,00",
,,,
,,,
CAT,PIPAS Y TURBIBAS,,
PI001,Metal martillo,"$3.000,00","$2.400,00"
PI002,Pipa agua man,"$5.000,00","$4.000,00"
PI003,Pipa bulldog,"$7.200,00","$5.760,00"
PI004,Pipa calavera metal,"$7.000,00","$5.600,00"
PI005,Pipa calavera tornasolado,,"$0,00"
PI006,Pipa calavera vidrio,"$7.900,00","$6.320,00"
PI007,Pipa DK metal flexible 8015,"$7.000,00","$5.600,00"
PI008,PIPA DK PYREX BURBUJA TORNASOLADA,"$7.200,00","$5.760,00"
PI009,Pipa hongo,,"$0,00"
PI010,PIPA LARGA DK8187A TORNASOLADA,"$9.600,00","$7.680,00"
PI011,Pipa madera,"$4.800,00","$3.840,00"
PI012,Pipa madera triangulo,"$4.800,00","$3.840,00"
PI013,PIPA METAL AMSTERDAM DK-8159,"$8.000,00","$6.400,00"
PI014,Pipa metal Squadafum classic,"$20.600,00","$16.480,00"
PI015,Pipa metal squadafum turbo,"$24.000,00","$19.200,00"
PI016,Pipa metal squadafum ribs,"$18.800,00","$15.040,00"
PI017,Pipa tallada,,"$0,00"
PI018,Pipa tirabuzon colores,"$7.500,00","$6.000,00"
PI019,Pirex vidrio dibujo,,"$0,00"
PI020,Pirex vidrio largo,,"$0,00"
PI021,SET PIPA + PICADOR + REJILLA + TORNASOLADA DK,"$12.800,00","$10.240,00"
PI022,Silicona con palita,,"$0,00"
PI023,Silicona de colores,,"$0,00"
PI024,Silicona de dibujos,,"$0,00"
PI025,Turbina chupete,,"$0,00"
PI026,Turbina color gris,,"$0,00"
PI029,Turbina DK bala tornasolada 8112,"$8.600,00","$6.880,00"
PI027,Turbina DK boquilla vidrio 8037,"$10.400,00","$8.320,00"
PI028,Turbina zeus vidrio limpiador,"$5.000,00","$4.000,00"
CAT,PORTA FASO,,
PO001,Gizeh,"$2.000,00","$1.600,00"
PO002,LRC personajes,,"$0,00"
PO003,Porta cuadrado y triángulo,,"$0,00"
PO004,Reforzado,"$600,00","$480,00"
PO005,Squadafum,"$2.000,00","$1.600,00"
CAT,REGULARES DE HUMEDAD,,
FALSE,Integra 8g 72%,"$4.700,00",
FALSE,Integra 8g 55%,"$4.700,00",
FALSE,Integra 4g 55%,"$2.800,00",
CAT,SEDAS,,
SE001,Dolar con tips,"$2.000,00",
SE002,Fumanchu papel,"$1.000,00",
SE003,Fumanchu Organico,"$1.000,00",
SE004,LRC alfalfa,"$1.400,00",
SE005,LRC alfalfa 110,"$1.600,00",
SE006,LRC celulosas 110mm,"$3.000,00",
SE007,LRC celulosas 78mm,"$2.000,00",
SE008,LRC Duki negra 78mm,"$1.200,00",
SE009,LRC Saborizadas,"$1.400,00",
SE010,LRC unbleached 78mm,"$1.000,00",
SE011,LRC unbleached ks 110mm,"$1.600,00",
SE012,LRC 420 78mm,"$6.500,00",
SE013,OCB premium,"$1.200,00",
SE014,OCB X-pert,"$1.200,00",
SE015,OCB Blanco,"$600,00",
SE016,Pay Pay Go Green alfalfa 110mm,"$2.400,00",
SE017,Pay Pay rollo go green alfalfa,"$3.000,00",
SE018,Pay Pay Slim 110mm + tips,"$3.800,00",
SE019,Pay Pay Ultrathin 110mm,"$2.400,00",
SE020,Raw artesano 78mm +tips,"$6.000,00",
SE021,Raw Black,"$1.400,00",
SE022,Raw Black organic 110mm,"$3.300,00",
SE023,Raw Clásico ,"$1.300,00",
